python3.12 -u scripts/train_nnue-gpu.py --epochs 100 --lr 0.01 --lr-end 0.001 --hidden-dim 128 --hidden2-dim 256 --test-fraction 0.01 --batch-size 10000 --batches-per-epoch 512 --train-val-subset-size 10000 --run-name dual_h128_H256_e100_bpe512_bs10000 --plot plots/dual_h128_H256_e100_bpe512_bs10000.png

n_data,train_ce,test_ce
152760,0.601469,1.014207
305247,0.608704,0.917712
584246,0.615438,0.809832
1173653,0.622952,0.748963
2360799,0.624782,0.678629
4730962,0.625272,0.657037
5934042,0.624047,0.650637
7081208,0.620712,0.637312
10022136,0.633910,0.638807
14755720,0.629083,0.636804
20688711,0.627289,0.635255
29591376,0.624354,0.631476
44350080,0.630752,0.631526
61178696,0.623540,0.633128
75951841,0.627567,0.633372
90724432,0.630706,0.630666
