representation_a,algorithm_a,k_a,representation_b,algorithm_b,k_b,ari,nmi
board,minibatch_kmeans,2,l1,minibatch_kmeans,2,-0.002821984823964473,0.17712239080569325
board,minibatch_kmeans,2,gradients,minibatch_kmeans,2,0.024736480187850067,0.012680447906413199
board,minibatch_kmeans,2,piece_count,piece_count,8,0.10841714939295173,0.2394417154739806
l1,minibatch_kmeans,2,gradients,minibatch_kmeans,2,0.0028324352172155918,0.016946306848354065
l1,minibatch_kmeans,2,piece_count,piece_count,8,0.10829345217975003,0.2538471629862997
gradients,minibatch_kmeans,2,piece_count,piece_count,8,0.008143366403950627,0.01369883931440188
board,minibatch_kmeans,4,l1,minibatch_kmeans,4,0.14121696193643848,0.28734560571948214
board,minibatch_kmeans,4,gradients,minibatch_kmeans,4,0.0212380248262579,0.03368222365693368
board,minibatch_kmeans,4,piece_count,piece_count,8,0.18479495380365824,0.311022093910594
l1,minibatch_kmeans,4,gradients,minibatch_kmeans,4,0.0828653247740893,0.1473514217277307
l1,minibatch_kmeans,4,piece_count,piece_count,8,0.16834702710481939,0.35751878971606377
gradients,minibatch_kmeans,4,piece_count,piece_count,8,0.013865373115274056,0.037264105440573944
board,minibatch_kmeans,8,l1,minibatch_kmeans,8,0.12394586759690697,0.23565927631500824
board,minibatch_kmeans,8,gradients,minibatch_kmeans,8,0.05682792052023747,0.06347983623457112
board,minibatch_kmeans,8,piece_count,piece_count,8,0.18857851738898102,0.3033664751661219
l1,minibatch_kmeans,8,gradients,minibatch_kmeans,8,0.07754687775438582,0.1496921307054085
l1,minibatch_kmeans,8,piece_count,piece_count,8,0.14659164258352064,0.28955368842100654
gradients,minibatch_kmeans,8,piece_count,piece_count,8,0.041769736830464615,0.08844843143872681
board,minibatch_kmeans,16,l1,minibatch_kmeans,16,0.08947871095664267,0.23706774507737216
board,minibatch_kmeans,16,gradients,minibatch_kmeans,16,0.04455338926474323,0.07317428483891696
board,minibatch_kmeans,16,piece_count,piece_count,8,0.15206312169370442,0.2884379411221921
l1,minibatch_kmeans,16,gradients,minibatch_kmeans,16,0.08553380743521193,0.19530780705920567
l1,minibatch_kmeans,16,piece_count,piece_count,8,0.12561770156823038,0.3138633352208859
gradients,minibatch_kmeans,16,piece_count,piece_count,8,0.04529425646527208,0.12044112095187716
board,dbscan,8,l1,dbscan,8,-0.12586230655606506,0.07135813046172727
board,dbscan,8,gradients,dbscan,8,-0.04208042998262953,0.05165209272047994
board,dbscan,8,piece_count,piece_count,8,0.06890411647466384,0.18728967428177037
l1,dbscan,8,gradients,dbscan,8,0.042960880403460563,0.027096020491348113
l1,dbscan,8,piece_count,piece_count,8,0.06852804878287135,0.2516529895960405
gradients,dbscan,8,piece_count,piece_count,8,0.03625011248503237,0.06780730038713421
