representation,algorithm,requested_k,n_clusters,feature_dim,cluster_feature_dim,n_rows,sizes,proportions,inertia,silhouette,silhouette_samples,cosine_distance_mean,cosine_distance_min,empty_clusters,n_noise,dbscan_epsilon,dbscan_eps,dbscan_min_samples,dbscan_fit_rows,dbscan_pca_var
board,minibatch_kmeans,2,2,1688,1688,1000000,687443|312557,0.687443|0.312557,33993448.0,0.11228036135435104,2000,0.23462846035346052,0.23462846035346052,0,,,,,,
board,minibatch_kmeans,4,4,1688,1688,1000000,290592|430686|74247|204475,0.290592|0.430686|0.074247|0.204475,32221082.0,0.07500520348548889,2000,0.2213445333381808,0.12034321042592033,0,,,,,,
board,minibatch_kmeans,8,8,1688,1688,1000000,145580|285414|93338|61781|70197|74896|103912|164882,0.145580|0.285414|0.093338|0.061781|0.070197|0.074896|0.103912|0.164882,30779348.0,0.04127034172415733,2000,0.25739183358169265,0.04323654932589871,0,,,,,,
board,minibatch_kmeans,16,16,1688,1688,1000000,63432|70349|35985|17176|41505|83201|82089|33598|50283|107471|158914|37556|55711|60442|53328|48960,0.063432|0.070349|0.035985|0.017176|0.041505|0.083201|0.082089|0.033598|0.050283|0.107471|0.158914|0.037556|0.055711|0.060442|0.053328|0.048960,29932942.0,0.018574431538581848,2000,0.2878084403843353,0.06051133139199649,0,,,,,,
board,dbscan,8,3,1688,48,1000000,781758|105310|112932,0.781758|0.105310|0.112932,20045334.0,0.17163388431072235,10000,1.2871118417653158,0.7803033869065622,0,39618,0.6,3.253006935119629,80,100000,0.5630496740341187
l1,minibatch_kmeans,2,2,256,256,1000000,725039|274961,0.725039|0.274961,159011088.0,0.1541665494441986,2000,0.17443976692938623,0.17443976692938623,0,,,,,,
l1,minibatch_kmeans,4,4,256,256,1000000,219007|136048|540530|104415,0.219007|0.136048|0.540530|0.104415,146857280.0,0.10644407570362091,2000,0.2083288607230631,0.11480549526278239,0,,,,,,
l1,minibatch_kmeans,8,8,256,256,1000000,44089|77838|154182|142174|72832|117407|249154|142324,0.044089|0.077838|0.154182|0.142174|0.072832|0.117407|0.249154|0.142324,139434416.0,0.004769189283251762,2000,0.20291342005964888,0.06861912320240293,0,,,,,,
l1,minibatch_kmeans,16,16,256,256,1000000,30869|41636|84555|172621|22562|72386|23274|14847|90771|75393|43379|74173|67695|34001|68451|83387,0.030869|0.041636|0.084555|0.172621|0.022562|0.072386|0.023274|0.014847|0.090771|0.075393|0.043379|0.074173|0.067695|0.034001|0.068451|0.083387,131498632.0,-0.004923294764012098,2000,0.24362428407945302,0.05728359070129052,0,,,,,,
l1,dbscan,8,2,256,48,1000000,855535|144465,0.855535|0.144465,124204376.0,0.21708142757415771,10000,1.6462415448102872,1.6462415448102872,0,57151,0.4,7.019803333282472,80,100000,0.7287652492523193
gradients,minibatch_kmeans,2,2,48,48,1000000,440504|559496,0.440504|0.559496,695918.375,0.2503906786441803,10000,1.9379868748616307,1.9379868748616307,0,,,,,,
gradients,minibatch_kmeans,4,4,48,48,1000000,308670|361314|179129|150887,0.308670|0.361314|0.179129|0.150887,556797.5,0.19624638557434082,10000,1.228866191812142,0.6071760286360033,0,,,,,,
gradients,minibatch_kmeans,8,8,48,48,1000000,107135|182229|158615|103708|142233|96817|122983|86280,0.107135|0.182229|0.158615|0.103708|0.142233|0.096817|0.122983|0.086280,438044.8125,0.19058845937252045,10000,1.1256259088747789,0.3665381892649988,0,,,,,,
gradients,minibatch_kmeans,16,16,48,48,1000000,63623|92929|38026|78980|34250|131483|38663|60844|84038|67893|39512|50658|41925|64547|56316|56313,0.063623|0.092929|0.038026|0.078980|0.034250|0.131483|0.038663|0.060844|0.084038|0.067893|0.039512|0.050658|0.041925|0.064547|0.056316|0.056313,379475.25,0.1339462697505951,10000,1.0486837839101817,0.12273153893386979,0,,,,,,
gradients,dbscan,8,5,48,48,1000000,211250|231460|77898|402241|77151,0.211250|0.231460|0.077898|0.402241|0.077151,628177.4375,0.15186242759227753,10000,1.196325831073477,0.5680519982789163,0,75227,0.3,0.3542485475540161,80,100000,
piece_count,piece_count,8,8,1,1,1000000,88313|105341|112065|187486|163086|134855|139422|69432,0.088313|0.105341|0.112065|0.187486|0.163086|0.134855|0.139422|0.069432,1260983.863948843,0.6062983870506287,10000,0.0,0.0,0,,,,,,
