target,h,b,n_train,n_val,top1,top2,macro_f1,weighted_f1,ari,nmi,chance_acc,dummy_val_acc,seconds
l1,32,2,900000,100000,0.9938599467277527,1.0,0.9922557624544905,0.9938559818280048,0.9744962308857854,0.9375601971968731,0.5,0.727,11.548995660967194
l1,64,2,900000,100000,0.9936599731445312,1.0,0.9920033235337704,0.9936557778699779,0.9736705816819737,0.9358682868268716,0.5,0.727,8.827921253978275
l1,128,2,900000,100000,0.9934499859809875,1.0,0.9917517821620483,0.993450935657211,0.9728192384935366,0.9340002014033856,0.5,0.727,8.555907954927534
l1,32,4,900000,100000,0.9905200004577637,0.9999099969863892,0.98875843937414,0.9905191758803191,0.9758860286368823,0.9490357003219118,0.25,0.54157,6.684092292911373
l1,64,4,900000,100000,0.9898699522018433,0.9999099969863892,0.9877147382592104,0.9898675686412601,0.9746426309258217,0.9460495527437409,0.25,0.54157,11.187446636962704
l1,128,4,900000,100000,0.9890699982643127,0.9998700022697449,0.9870707669222425,0.9890704925035106,0.9721247634051507,0.9424986576714618,0.25,0.54157,7.489348715054803
l1,32,8,900000,100000,0.9798099994659424,0.9993199706077576,0.9783835006461573,0.9798054062490795,0.9573235899446864,0.9353916996208229,0.125,0.24846,11.123573906021193
l1,64,8,900000,100000,0.9794399738311768,0.9992899894714355,0.9777033554958412,0.9794347734752621,0.9565584412566478,0.9342261178413354,0.125,0.24846,10.958533525001258
l1,128,8,900000,100000,0.9793099761009216,0.9994300007820129,0.977850686766859,0.9792991270811314,0.9559554157024898,0.933674232962163,0.125,0.24846,9.825123885064386
l1,32,16,900000,100000,0.9729399681091309,0.9989699721336365,0.9678101328700339,0.9728660379268989,0.9502664003684692,0.9359886635615449,0.0625,0.17248,5.022185476031154
l1,64,16,900000,100000,0.9722399711608887,0.9987399578094482,0.9670004248320402,0.9721944879948048,0.948848898275345,0.9344469764490678,0.0625,0.17248,9.851684086024761
l1,128,16,900000,100000,0.9698099493980408,0.9987199902534485,0.9656489504929482,0.9697736419492506,0.9434756845528508,0.9290334400623729,0.0625,0.17248,9.02441441710107
gradient,32,2,900000,100000,0.6420599818229675,1.0,0.6413102241616733,0.6432860114101773,0.08070386916232798,0.06197689494443388,0.5,0.56024,10.591178025933914
gradient,64,2,900000,100000,0.6317600011825562,1.0,0.6300915406188121,0.6330846315396804,0.06943103412825175,0.0510747841453093,0.5,0.56024,10.376228998997249
gradient,128,2,900000,100000,0.6419099569320679,1.0,0.6410604538059281,0.6431643248328918,0.08053756483524314,0.06149121518704077,0.5,0.56024,6.843790975981392
gradient,32,4,900000,100000,0.5796999931335449,0.8922500014305115,0.5453673516847167,0.5604860083541794,0.225716934845303,0.2794516652920617,0.25,0.36116,9.0414442459587
gradient,64,4,900000,100000,0.5866699814796448,0.8947699666023254,0.5613460460830403,0.5731407963989804,0.2254876823237173,0.27317900226239306,0.25,0.36116,8.08137737493962
gradient,128,4,900000,100000,0.5878700017929077,0.8953299522399902,0.5633666405951204,0.5746064142788396,0.22776674145318476,0.2730974222885167,0.25,0.36116,9.995715811965056
gradient,32,8,900000,100000,0.522350013256073,0.803849995136261,0.467575931866911,0.5061302733526813,0.3621028775138004,0.40363615259494473,0.125,0.18417,9.075848774053156
gradient,64,8,900000,100000,0.524619996547699,0.8065599799156189,0.4690682149307625,0.5079781261365205,0.36580240961910043,0.4049529583072881,0.125,0.18417,7.57547477807384
gradient,128,8,900000,100000,0.5300099849700928,0.8068299889564514,0.4732205398858301,0.5119669860345473,0.36853628058482696,0.40726869589473863,0.125,0.18417,7.034291026066057
gradient,32,16,900000,100000,0.47491997480392456,0.7252500057220459,0.3996687777272582,0.44646146620706,0.36683934316105876,0.44595517332644985,0.0625,0.13352,8.742292993003502
gradient,64,16,900000,100000,0.48297998309135437,0.73117995262146,0.41383466577098205,0.45951423458549207,0.36768143354846367,0.44516846655733355,0.0625,0.13352,10.238884818041697
gradient,128,16,900000,100000,0.48982998728752136,0.7389799952507019,0.42420242827027543,0.46951201774950724,0.3689757844506937,0.44668372734451095,0.0625,0.13352,9.91406784299761
